AWS_DIRECTORY,DIRECTORY,TYPE,SOURCE_FILE,JSON_FILENAME,CONTENTS_DESCRIPTION_ESTIMATE,FIELDS_CSV
https://vtopendata-prd.s3.us-east-2.amazonaws.com/_Other/CAMA/sample-microsolve-sburl/res/,res,Residential,EXP_MAIN.CSV,EXP_MAIN_RES.json,Main property details by parcel_id,"parcel_id,owner_name,tax_map_nu,owner_nam2,owner_addr,city,state,zip_code,prop_locat,neighborho,sec_t,prop_type,assess_yea,misc_adjus,cama_dwell,cama_land,cama_outb,cama_sitei,cama_total,sale_price,sale_date,book,page,validity,two_acre_v,homestead,homestd_va,inspect_dt,re_inspect,ownership,current_st,p_misc9,factora,factorb,factorc,factord,factore,factorf,factorg,factorh,factori,factorj,cama_site2,fac_209,fac_210,fac_211,fac_212,fac_213,fac_214,fac_215,fac_216,fac_217,fac_218,fac_219,fac_220,fac_221,fac_222,fac_223,fac_224,fac_225,fac_226,fac_227,fac_228,fac_229,fac_230,fac_231,fac_232,fac_233,fac_234,fac_235,fac_236,fac_237,fac_238,proximity,owner_add2,prop_numb,selectvalu,lastupdate,ckoutdte,ckoutid,old_pid,street_num,parcstatus,parc_span,propaccess,accdate,accnote"
,res,Residential,EXP_MSAUDIT.CSV,,Microsolve administrative audit logfile,"cuserid,cprogname,cdbcname,cotherkey,cparcelid,clevel2id,clevel3id,ctableid,cfieldname,cfieldtype,timestamp,ctype,ladminseen"
,res,Residential,EXP_MSCONFIG.CSV,,Microsolve configuration details,"compsetp,bmpdirpath,bmpuselink,costbimpat,costinvali,costmaxcol,cvfelimina,cvfmaxfnln,cvfnofname,cvfnofruls,cvfnprefix,cvfserialn,cvfsubfrom,cvfsubto,cvftrim_s,novalcode0,parcfld_id,parcfldsid,parcfldadd,phototable,photofield,photoid,sketchtable,sketchfield,sketchid,remarktable,remarkfield,remarkid,timestamp,phototype,ctypecost,lmsaudit,adddel,fxddict,aadmin,camaapexjpgdir,apexuselink,apextxt,jpgsketchfield,jpgdirfield,estsales,spssdatadir,jpgtable,reptsel,extract,fxcompset,slshactv,histsvbut,idwidth,idused,slshloca,slsstat,chkinout,apexcd,newsket,wrnskarea,rtitle1,rtitle2,replist,custde,exphh,expin,photdefa,sketdte,apexvers,camaapexax_dir,ldispsect,lcostrmind,cvers_cama,cvers_cest,cvers_apex,nvers_cost,datasprto"
https://vtopendata-prd.s3.us-east-2.amazonaws.com/_Other/CAMA/sample-microsolve-sburl/res/,res,Residential,EXP_OUTBUILD.CSV,EXP_OUTBUILD_RES.json,Outbuilding details by parcel_id,"parcel_id,outbid,type,name,dimension1,dimension2,rate,total,siding,finish,grade,extras,class,quality,add_ob,cu_enroll,cu_value"
https://vtopendata-prd.s3.us-east-2.amazonaws.com/_Other/CAMA/sample-microsolve-sburl/res/,res,Residential,EXP_OYVAL.CSV,EXP_OYVAL_RES.json,Valuation details by parcel_id,"parcel_id,oyvalid,nperiod,cama_dwell,cama_land,cama_outb,cama_siteimp,cama_total,priorratio"
https://vtopendata-prd.s3.us-east-2.amazonaws.com/_Other/CAMA/sample-microsolve-sburl/res/,res,Residential,EXP_PHOTOS.CSV,EXP_PHOTOS_RES.json,Property photos index by parcel_id; located on inaccessible server,"parcel_id,photoid,desc"
https://vtopendata-prd.s3.us-east-2.amazonaws.com/_Other/CAMA/sample-microsolve-sburl/res/,res,Residential,EXP_PORCH.CSV,EXP_PORCH_RES.json,Porch details by parcel_id,"parcel_id,secid,porchid,area,floor,wall,roof,ceiling,exstr_sof,exstr_typ,exstr_flt,exstr_land"
https://vtopendata-prd.s3.us-east-2.amazonaws.com/_Other/CAMA/sample-microsolve-sburl/res/,res,Residential,EXP_REPLIST.CSV,EXP_REPLIST_RES.json,Report list and contents,"name,desc,procname,ornum,code,sketches,pictures,ptr_opts,duplex,pgspparc,detail23,compiled,allparcs,sprptloc"
https://vtopendata-prd.s3.us-east-2.amazonaws.com/_Other/CAMA/sample-microsolve-sburl/res/,res,Residential,EXP_ROOF.CSV,EXP_ROOF_RES.json,Roof details by parcel_id,"parcel_id,secid,roofid,type,percent,rf_total"
https://vtopendata-prd.s3.us-east-2.amazonaws.com/_Other/CAMA/sample-microsolve-sburl/res/,res,Residential,EXP_SECTION.CSV,EXP_SECTION_RES.json,Building section details by parcel_id,"secid,parcel_id,bldg_type,design,quality,style,stories,condition,no_of_unit,year_built,effect_age,bldg_sqft,wall_heigh,frame,subfloor,plaster_in,energy_adj,floor_insu,floor_ins,foundation,dormer_lin,dormer_roo,plumb_fixt,plumb_roug,total_room,bedrooms,full_baths,half_baths,kitchens,fireplaces,improv,imp_total,basemnt_wa,basemnt_fi,basemnt_sf,basemnt_ga,basemnt_sq,exstairsof,exstairtyp,exstairfli,landings_s,manuf_len,manuf_widt,skirting,skirting_l,tipouts_sf,complete_p,phys_depr,econ_depr,func_depr,life_expec,misc_adj,rcn,rcnld,cama_dwell,prop_dwell,prev_dwell,impr_total,gara_total,porc_total,outsd_entr,sketchbmp,tot_prch_v,fptype,sketdate,t40pageval,tgarfinsf,mh_regnum,mh_serial,mh_model,mh_manuf,cu_enroll,cu_value"
